project_id,project_code,project_name,office_id,project_manager_employee_id,field_manager_employee_id,status,project_start_date,project_end_date,priority_code,project_description,parent_project_code
34,PRJ-034,Field Project 034,10,22,34,Active,2026-04-13,2026-09-10,High,Synthetic operational project 034,
35,PRJ-035,Field Project 035,11,23,35,Active,2026-04-16,2026-09-13,Medium,Synthetic operational project 035,
36,PRJ-036,Field Project 036,12,24,36,Active,2026-04-19,2026-09-16,Low,Synthetic operational project 036,
37,PRJ-037,Field Project 037,1,13,25,Active,2026-04-22,2026-09-19,High,Synthetic operational project 037,
38,PRJ-038,Field Project 038,2,14,26,Active,2026-04-25,2026-09-22,Medium,Synthetic operational project 038,
39,PRJ-039,Field Project 039,3,15,27,Active,2026-04-28,2026-09-25,Low,Synthetic operational project 039,
40,PRJ-040,Field Project 040,4,16,28,Planned,2026-05-01,2026-09-28,High,Synthetic operational project 040,
41,PRJ-041,Field Project 041,5,17,29,Active,2026-05-04,2026-10-01,Medium,Synthetic operational project 041,
42,PRJ-042,Field Project 042,6,18,30,Active,2026-05-07,2026-10-04,Low,Synthetic operational project 042,
43,PRJ-043,Field Project 043,7,19,31,Active,2026-05-10,2026-10-07,High,Synthetic operational project 043,
44,PRJ-044,Field Project 044,8,20,32,Active,2026-05-13,2026-10-10,Medium,Synthetic operational project 044,
45,PRJ-045,Field Project 045,9,21,33,Active,2026-05-16,2026-10-13,Low,Synthetic operational project 045,
46,PRJ-046,Field Project 046,10,22,34,Active,2026-05-19,2026-10-16,High,Synthetic operational project 046,
47,PRJ-047,Field Project 047,11,23,35,Active,2026-05-22,2026-10-19,Medium,Synthetic operational project 047,
48,PRJ-048,Field Project 048,12,24,36,Planned,2026-05-25,2026-10-22,Low,Synthetic operational project 048,
49,PRJ-049,Field Project 049,1,13,25,Active,2026-05-28,2026-10-25,High,Synthetic operational project 049,
50,PRJ-050,Field Project 050,2,14,26,Active,2026-05-31,2026-10-28,Medium,Synthetic operational project 050,
51,PRJ-051,Field Project 051,3,15,27,Active,2026-06-03,2026-10-31,Low,Synthetic operational project 051,
52,PRJ-052,Field Project 052,4,16,28,Active,2026-06-06,2026-11-03,High,Synthetic operational project 052,
53,PRJ-053,Field Project 053,5,17,29,Active,2026-06-09,2026-11-06,Medium,Synthetic operational project 053,
54,PRJ-054,Field Project 054,6,18,30,Active,2026-06-12,2026-11-09,Low,Synthetic operational project 054,
55,PRJ-055,Field Project 055,7,19,31,Active,2026-06-15,2026-11-12,High,Synthetic operational project 055,
56,PRJ-056,Field Project 056,8,20,32,Planned,2026-06-18,2026-11-15,Medium,Synthetic operational project 056,
57,PRJ-057,Field Project 057,9,21,33,Active,2026-06-21,2026-11-18,Low,Synthetic operational project 057,
58,PRJ-058,Field Project 058,10,22,34,Active,2026-06-24,2026-11-21,High,Synthetic operational project 058,
59,PRJ-059,Field Project 059,11,23,35,Active,2026-06-27,2026-11-24,Medium,Synthetic operational project 059,
60,PRJ-060,Field Project 060,12,24,36,Active,2026-01-01,2026-05-31,Low,Synthetic operational project 060,
61,PRJ-061,Field Project 061,1,13,25,Active,2026-01-04,2026-06-03,High,Synthetic operational project 061,
62,PRJ-062,Field Project 062,2,14,26,Active,2026-01-07,2026-06-06,Medium,Synthetic operational project 062,
63,PRJ-063,Field Project 063,3,15,27,Active,2026-01-10,2026-06-09,Low,Synthetic operational project 063,
64,PRJ-064,Field Project 064,4,16,28,Planned,2026-01-13,2026-06-12,High,Synthetic operational project 064,
65,PRJ-065,Field Project 065,5,17,29,Active,2026-01-16,2026-06-15,Medium,Synthetic operational project 065,
66,PRJ-066,Field Project 066,6,18,30,Active,2026-01-19,2026-06-18,Low,Synthetic operational project 066,
67,PRJ-067,Field Project 067,7,19,31,Active,2026-01-22,2026-06-21,High,Synthetic operational project 067,
68,PRJ-068,Field Project 068,8,20,32,Active,2026-01-25,2026-06-24,Medium,Synthetic operational project 068,
69,PRJ-069,Field Project 069,9,21,33,Active,2026-01-28,2026-06-27,Low,Synthetic operational project 069,
70,PRJ-070,Field Project 070,10,22,34,Active,2026-01-31,2026-06-30,High,Synthetic operational project 070,
71,PRJ-071,Field Project 071,11,23,35,Active,2026-02-03,2026-07-03,Medium,Synthetic operational project 071,
72,PRJ-072,Field Project 072,12,24,36,Planned,2026-02-06,2026-07-06,Low,Synthetic operational project 072,
73,PRJ-073,Field Project 073,1,13,25,Active,2026-02-09,2026-07-09,High,Synthetic operational project 073,
74,PRJ-074,Field Project 074,2,14,26,Active,2026-02-12,2026-07-12,Medium,Synthetic operational project 074,
75,PRJ-075,Field Project 075,3,15,27,Active,2026-02-15,2026-07-15,Low,Synthetic operational project 075,
