employee_id,employee_number,employee_name,home_office_id,employment_status,termination_date,employee_role_code
133,EMP-0133,Employee 0133,1,Active,,FIELD_MANAGER
134,EMP-0134,Employee 0134,2,Active,,TECHNICIAN
135,EMP-0135,Employee 0135,3,Active,,SAFETY_COORDINATOR
136,EMP-0136,Employee 0136,4,Active,,CREW_LEAD
137,EMP-0137,Employee 0137,5,Active,,PROJECT_MANAGER
138,EMP-0138,Employee 0138,6,Active,,FIELD_MANAGER
139,EMP-0139,Employee 0139,7,Active,,TECHNICIAN
140,EMP-0140,Employee 0140,8,Active,,SAFETY_COORDINATOR
141,EMP-0141,Employee 0141,9,Active,,CREW_LEAD
142,EMP-0142,Employee 0142,10,Active,,PROJECT_MANAGER
143,EMP-0143,Employee 0143,11,Active,,FIELD_MANAGER
144,EMP-0144,Employee 0144,12,Active,,TECHNICIAN
145,EMP-0145,Employee 0145,1,Active,,SAFETY_COORDINATOR
146,EMP-0146,Employee 0146,2,Active,,CREW_LEAD
147,EMP-0147,Employee 0147,3,Active,,PROJECT_MANAGER
148,EMP-0148,Employee 0148,4,Active,,FIELD_MANAGER
149,EMP-0149,Employee 0149,5,Active,,TECHNICIAN
150,EMP-0150,Employee 0150,6,Active,,SAFETY_COORDINATOR
