assignment_id,equipment_id,job_site_id,project_id,assignment_start_timestamp,assignment_end_timestamp,assignment_note,scenario_id
93,13,111,36,2026-07-14T06:00:00,2026-07-14T16:00:00,Planned assignment,normal_operations
94,14,33,33,2026-07-14T06:00:00,2026-07-14T16:00:00,Planned assignment,normal_operations
95,15,47,47,2026-06-23T06:00:00,2026-06-23T16:00:00,Planned assignment,normal_operations
96,16,1,1,2026-07-29T06:00:00,2026-07-29T16:00:00,Planned assignment,normal_operations
97,17,64,64,2026-06-22T06:00:00,2026-06-22T16:00:00,Planned assignment,normal_operations
98,18,52,52,2026-06-21T06:00:00,2026-06-21T16:00:00,Planned assignment,normal_operations
99,19,57,57,2026-06-26T06:00:00,2026-06-26T16:00:00,Planned assignment,normal_operations
100,20,72,72,2026-07-27T06:00:00,2026-07-27T16:00:00,Planned assignment,normal_operations
101,21,91,16,2026-06-23T06:00:00,2026-06-23T16:00:00,Planned assignment,normal_operations
102,22,89,14,2026-07-13T06:00:00,2026-07-13T16:00:00,Planned assignment,normal_operations
103,23,67,67,2026-07-04T06:00:00,2026-07-04T16:00:00,Planned assignment,normal_operations
104,24,14,14,2026-07-21T06:00:00,2026-07-21T16:00:00,Planned assignment,normal_operations
105,25,68,68,2026-07-16T06:00:00,2026-07-16T16:00:00,Planned assignment,normal_operations
106,26,77,2,2026-08-02T06:00:00,2026-08-02T16:00:00,Planned assignment,normal_operations
107,27,50,50,2026-07-05T06:00:00,2026-07-05T16:00:00,Planned assignment,normal_operations
108,28,66,66,2026-07-26T06:00:00,2026-07-26T16:00:00,Planned assignment,normal_operations
109,29,61,61,2026-07-06T06:00:00,2026-07-06T16:00:00,Planned assignment,normal_operations
110,30,8,8,2026-08-01T06:00:00,2026-08-01T16:00:00,Planned assignment,normal_operations
111,31,71,71,2026-07-10T06:00:00,2026-07-10T16:00:00,Planned assignment,normal_operations
112,32,82,7,2026-07-23T06:00:00,2026-07-23T16:00:00,Planned assignment,normal_operations
113,33,15,15,2026-07-24T06:00:00,2026-07-24T16:00:00,Planned assignment,normal_operations
114,34,5,5,2026-08-14T06:00:00,2026-08-14T16:00:00,Planned assignment,normal_operations
115,35,70,70,2026-07-30T06:00:00,2026-07-30T16:00:00,Planned assignment,normal_operations
116,36,17,17,2026-08-04T06:00:00,2026-08-04T16:00:00,Planned assignment,normal_operations
117,37,54,54,2026-08-19T06:00:00,2026-08-19T16:00:00,Planned assignment,normal_operations
118,38,59,59,2026-08-17T06:00:00,2026-08-17T16:00:00,Planned assignment,normal_operations
119,39,49,49,2026-08-20T06:00:00,2026-08-20T16:00:00,Planned assignment,normal_operations
120,40,76,1,2026-07-19T06:00:00,2026-07-19T16:00:00,Planned assignment,normal_operations
